,cdhit_id,genome_id
0,281,28
1,281,49
2,377,28
3,399,12
4,561,36
5,590,28
6,691,5
7,691,11
8,867,40
9,935,7
10,1113,53
11,1122,29
12,1133,26
13,1173,35
14,1226,1
15,1226,33
16,1226,48
17,1309,27
18,1346,9
19,1423,8
20,1423,28
21,1566,7
22,1713,29
23,1724,26
24,1774,28
25,1890,42
26,1924,39
27,1937,28
28,2068,26
29,2103,47
30,2117,26
31,2117,28
32,2197,49
33,2228,28
34,2458,24
35,2606,28
36,2637,24
37,2724,41
38,2748,41
39,2864,28
40,2885,13
41,2885,25
42,2885,44
43,2885,49
44,2929,11
45,3058,28
46,3058,39
47,3060,40
48,3069,28
49,3105,45
50,3125,8
51,3153,44
52,3162,10
53,3162,30
54,3195,31
55,3216,28
56,3245,8
57,3295,28
58,3299,53
59,3306,40
60,3370,41
61,3383,28
62,3583,25
63,3583,50
64,3583,53
65,3691,9
66,3696,9
67,3696,45
68,3880,40
69,3889,13
70,3889,25
71,3889,44
72,3889,49
73,3900,1
74,3969,13
75,3969,25
76,3969,44
77,3969,49
78,3994,28
79,4024,1
80,4024,6
81,4024,7
82,4024,8
83,4030,6
84,4030,26
85,4030,36
86,4030,40
87,4030,53
88,4038,44
89,4172,33
90,4172,46
91,4172,52
92,4173,6
93,4176,36
94,4195,6
95,4268,45
96,4273,28
97,4342,40
98,4448,39
99,4477,24
100,4477,32
101,4477,42
102,4514,5
103,4514,53
104,4765,28
105,4770,28
106,4837,29
107,4837,36
108,4888,41
109,4896,41
110,4896,51
111,4901,33
112,4915,31
113,4925,5
114,4984,1
115,5056,39
116,5079,31
117,5126,7
118,5139,11
119,5139,32
120,5139,33
121,5141,53
122,5156,8
123,5167,45
124,5180,27
125,5180,44
126,5205,32
127,5205,47
128,5205,48
129,5241,39
130,5262,51
131,5267,43
132,5335,41
133,5352,49
134,5383,30
135,5482,28
136,5495,29
137,5499,42
138,5499,43
139,5517,28
140,5539,28
141,5540,24
142,5540,48
143,5546,35
144,5608,28
145,5609,50
146,5617,52
147,5670,39
148,5705,9
149,5768,44
150,5768,48
151,5809,12
152,5818,26
153,5818,37
154,5849,42
155,5855,24
156,5855,40
157,5921,9
158,5921,40
159,5932,51
160,6073,24
161,6073,40
162,6178,42
163,6185,43
164,6193,9
165,6193,28
166,6219,8
167,6219,26
168,6256,28
169,6277,29
170,6295,13
171,6295,25
172,6295,30
173,6295,44
174,6295,49
175,6424,28
176,6424,39
177,6592,53
178,6664,28
179,6664,39
180,6731,28
181,6733,28
182,6737,36
183,6746,1
184,6746,6
185,6746,14
186,6746,40
187,6779,39
188,6780,25
189,6810,40
190,6810,43
191,6811,49
192,6861,53
193,6886,5
194,6942,8
195,6951,33
196,6963,36
197,6966,28
198,6999,28
199,7003,28
200,7066,47
201,7090,45
202,7152,12
203,7175,28
204,7203,28
205,7216,9
206,7216,10
207,7216,53
208,7306,40
209,7306,42
210,7387,48
211,7403,28
212,7461,9
213,7481,24
214,7507,28
215,7534,49
216,7562,25
217,7613,43
218,7647,6
219,7647,9
220,7647,43
221,7777,40
222,7777,45
223,7885,36
224,7914,9
225,7919,9
226,7919,37
227,7919,52
228,7934,9
229,8002,11
230,8002,26
231,8002,32
232,8002,33
233,8002,45
234,8009,9
235,8034,46
236,8046,28
237,8070,24
238,8071,49
239,8105,36
240,8108,53
241,8114,1
242,8114,11
243,8114,32
244,8114,33
245,8208,39
246,8208,42
247,8260,9
248,8260,14
249,8260,39
250,8260,41
251,8260,46
252,8262,24
253,8334,6
254,8334,50
255,8334,51
256,8367,28
257,8376,1
258,8396,33
259,8443,40
260,8516,30
261,8516,45
262,8518,9
263,8590,45
264,8590,51
265,8590,52
266,8779,9
267,8811,10
268,8811,52
269,8839,36
270,8866,9
271,8938,32
272,8943,52
273,9012,9
274,9164,1
275,9164,32
276,9171,7
277,9171,8
278,9171,14
279,9171,36
280,9275,9
281,9278,42
282,9358,10
283,9358,11
284,9358,14
285,9443,47
286,9535,9
